Hidden Layers,Nodes per Layer,Learning Rate,Epochs,Loss,Precision,Recall,F1,Training_time (sec)
1,512,0.01,500,1911.2154832148872,0.5309403486152684,0.459375,0.4890439671179331,64.11571192741394
1,512,0.01,1000,1139.7899121499572,0.6140904205536626,0.584375,0.5972931307163748,133.91751837730408
1,512,0.02,500,1169.8928350093433,0.6201028503660082,0.571875,0.5941606813113937,68.08106827735901
1,512,0.01,2000,598.5817144673315,0.7299165670220189,0.675,0.7005088934100301,264.5895688533783
1,512,0.02,1000,609.9578032672591,0.719283366740042,0.7,0.7084737573067575,132.21423411369324
1,512,0.1,500,3375.7391588982764,0.7422449774904907,0.6125,0.6081973647239272,64.82279706001282
1,512,0.02,2000,269.25376449416945,0.8169354525490785,0.7625,0.7877165230879422,258.75471472740173
1,512,0.1,1000,75.58135355421169,0.9240742114755746,0.878125,0.8994819340547189,127.45511674880981
1,1024,0.01,500,1315.696444988,0.6330872812869996,0.603125,0.6162578628681994,132.43081378936768
1,512,0.1,2000,31.513777901807252,0.9253076748704154,0.890625,0.9070403361197,281.8520042896271
1,1024,0.01,1000,631.7330621116241,0.7031930571281111,0.675,0.6858492967753179,269.52860260009766
1,1024,0.02,500,635.2896084867825,0.7199988141660156,0.70625,0.7100840799112212,141.02307629585266
1,1024,0.02,1000,247.7444397904655,0.7561596031191916,0.765625,0.7564441600889418,286.04255056381226
1,1024,0.01,2000,240.706235018376,0.7663999976346978,0.75625,0.7576496967478541,566.0052173137665
1,1024,0.1,500,46.743397920062236,0.8922592817662711,0.865625,0.8779760449663497,143.3942461013794
1,1024,0.02,2000,75.66988131351621,0.7962740384615385,0.7875,0.7886958658540786,574.105144739151
1,1024,0.1,1000,19.01606063431118,0.9145003315253636,0.865625,0.8889493466247853,289.91492795944214
1,2048,0.01,500,379.9343318925645,0.6751559724063376,0.68125,0.6730751169655728,269.2181634902954
1,1024,0.1,2000,10.260515377124465,0.9186423404371095,0.875,0.8958501441672384,592.9428155422211
1,2048,0.01,1000,100.40306106351217,0.7365453245025566,0.740625,0.7363006345579992,559.415506362915
1,2048,0.02,500,102.40318096178612,0.7252887648765558,0.740625,0.7298509108425112,288.0729594230652
1,2048,0.02,1000,32.3582181415145,0.7886880962454303,0.771875,0.7771378602505491,561.4852533340454
1,2048,0.01,2000,31.793802679147284,0.775360497780556,0.76875,0.770413542284625,1123.4467339515686
1,2048,0.1,500,7.872228674003937,0.854304474731304,0.875,0.8634886108677293,280.1336295604706
1,2048,0.02,2000,15.121049604816779,0.821051316515026,0.784375,0.7996961019654787,1120.434751033783
2,512,0.01,500,712.3540972344638,0.6042976758477259,0.584375,0.592834627272391,146.41308879852295
1,2048,0.1,1000,4.557911792073612,0.8673582534508512,0.871875,0.8686544921528025,551.0831732749939
2,512,0.01,1000,393.6388032175414,0.6996388558888559,0.628125,0.6599289802327973,255.57841515541077
2,512,0.02,500,396.637265317739,0.7526953946341592,0.69375,0.7197807565019828,125.44517850875854
1,2048,0.1,2000,2.691219829439464,0.8830414608705499,0.875,0.8775613303367328,981.7300879955292
2,512,0.01,2000,186.70228007919903,0.7549144622287037,0.68125,0.7141102644043821,507.0317540168762
2,512,0.02,1000,192.68525625765773,0.7699886185033409,0.709375,0.7370234638604337,242.74875903129578
2,512,0.1,500,18577.3313982014,0.46672041796198016,0.384375,0.3525019747465105,113.53955841064453
2,512,0.1,1000,49.645684457513426,0.9391693397697786,0.853125,0.892723523333852,230.18133211135864
