Nombre de photos,Nombre de carres,Low Tresh,High Tresh,Sigma Color,Sigma Space,Pourcentage de carres
404,257,0,255,60,75,63.613861386138616
404,260,0,240,60,75,64.35643564356435
404,261,0,230,60,75,64.60396039603961
404,266,0,220,60,75,65.84158415841584
404,284,0,175,60,75,70.29702970297029
404,299,0,150,60,75,74.00990099009901
404,323,0,125,60,75,79.95049504950495
404,360,0,100,60,75,89.10891089108911
404,257,10,255,60,75,63.613861386138616
404,260,10,240,60,75,64.35643564356435
404,261,10,230,60,75,64.60396039603961
404,266,10,220,60,75,65.84158415841584
404,285,10,175,60,75,70.54455445544554
404,300,10,150,60,75,74.25742574257426
404,325,10,125,60,75,80.44554455445545
404,362,10,100,60,75,89.60396039603961
404,260,20,255,60,75,64.35643564356435
404,263,20,240,60,75,65.0990099009901
404,265,20,230,60,75,65.5940594059406
404,270,20,220,60,75,66.83168316831683
404,287,20,175,60,75,71.03960396039604
404,303,20,150,60,75,75.0
404,329,20,125,60,75,81.43564356435643
404,368,20,100,60,75,91.0891089108911
404,261,30,255,60,75,64.60396039603961
404,264,30,240,60,75,65.34653465346535
404,265,30,230,60,75,65.5940594059406
404,270,30,220,60,75,66.83168316831683
404,288,30,175,60,75,71.28712871287128
404,301,30,150,60,75,74.5049504950495
404,326,30,125,60,75,80.6930693069307
404,363,30,100,60,75,89.85148514851485
404,273,40,255,60,75,67.57425742574257
404,276,40,240,60,75,68.31683168316832
404,278,40,230,60,75,68.8118811881188
404,282,40,220,60,75,69.80198019801979
404,301,40,175,60,75,74.5049504950495
404,313,40,150,60,75,77.47524752475248
404,339,40,125,60,75,83.9108910891089
404,375,40,100,60,75,92.82178217821783
404,289,50,255,60,75,71.53465346534654
404,294,50,240,60,75,72.77227722772277
404,296,50,230,60,75,73.26732673267327
404,300,50,220,60,75,74.25742574257426
404,321,50,175,60,75,79.45544554455446
404,334,50,150,60,75,82.67326732673267
404,359,50,125,60,75,88.86138613861387
404,393,50,100,60,75,97.27722772277228
404,289,60,255,60,75,71.53465346534654
404,292,60,240,60,75,72.27722772277228
404,294,60,230,60,75,72.77227722772277
404,297,60,220,60,75,73.51485148514851
404,318,60,175,60,75,78.71287128712872
404,332,60,150,60,75,82.17821782178217
404,359,60,125,60,75,88.86138613861387
404,400,60,100,60,75,99.00990099009901
404,299,70,255,60,75,74.00990099009901
404,304,70,240,60,75,75.24752475247524
404,305,70,230,60,75,75.4950495049505
404,309,70,220,60,75,76.48514851485149
404,330,70,175,60,75,81.68316831683168
404,348,70,150,60,75,86.13861386138613
404,384,70,125,60,75,95.04950495049505
404,443,70,100,60,75,109.65346534653466
