Couche Cachee,Neuronne pc,Taux Aprentissage,Iterations,Precision,Rappel,F1
2,1024,0.01,500,0.639072310476543,0.596875,0.6163690150413043
2,1024,0.01,2000,0.7056145162573084,0.690625,0.6951339551019327
2,1024,0.01,5000,0.7518640762597311,0.715625,0.7296624125055508
2,1024,0.02,500,0.6908825679707681,0.690625,0.6889383369675979
2,1024,0.02,2000,0.7905268406456021,0.734375,0.7593170113498895
Couche Cachee,Neuronne pc,Taux Aprentissage,Iterations,Precision,Rappel,F1
2,2048,0.01,500,0.5556939223817517,0.60625,0.5756517738075816
2,1024,0.02,5000,0.7645858241670652,0.715625,0.7335063575420698
2,1024,0.05,500,0.8012079240103691,0.759375,0.777698420366755
2,2048,0.01,1000,0.6327527499013645,0.659375,0.6443867383379487
2,1024,0.05,2000,0.8614359741514914,0.725,0.7833153942478652
2,2048,0.01,2500,0.6345055194466568,0.665625,0.6461266345701795
2,1024,0.05,5000,0.9043056043056044,0.790625,0.8410472065156054
2,2048,0.02,500,0.6251297979944981,0.63125,0.6259993954209504
2,1024,0.1,500,0.910398163828042,0.81875,0.8600784168688271
2,2048,0.02,1000,0.6519540233298587,0.665625,0.6573523257525902
2,1024,0.1,2000,0.9306971153846154,0.828125,0.8714293925132532
Couche Cachee,Neuronne pc,Taux Aprentissage,Iterations,Precision,Rappel,F1
2,2048,0.1,500,0.8444319514736509,0.796875,0.817544873782527
2,2048,0.1,1000,0.9055027259345716,0.8125,0.8546557677777933
2,1024,0.1,5000,0.955135970267549,0.828125,0.8841141363997271
2,1024,0.25,500,0.015625,0.125,0.02777777777777778
2,1024,0.25,2000,0.015625,0.125,0.02777777777777778
2,2048,0.1,2500,0.9025002957929787,0.803125,0.8457399511391686
2,2048,0.25,500,0.015625,0.125,0.02777777777777778
2,2048,0.25,1000,0.125,0.003125,0.006097560975609756
2,1024,0.25,5000,0.9438998501498501,0.946875,0.9444704341957799
2,2048,0.01,500,0.5618992365003003,0.61875,0.5871778154790744
2,2048,0.25,2500,0.934980847404628,0.928125,0.9298893906953811
